"fundoname","tpfundo","descricaofundo","preco","marketcap","dtcarga","p_vp","rentabilidade_mes","ultimo_rendimento","price","percentcharge"
"VSEC11","Papel: Papéis","FDO INV IMOB VOTORANTIM SECURITIES","1.042,86","283,0 K","2023-08-05 13:45:59.247493","0,05","19,93 %","0,08","R$ 0,21","-93,98%"
"VSLH11","Papel: Papéis","VERSALHES RECEBÍVEIS IMOBILIÁRIOS","20,93","301,4 M","2023-08-05 13:45:59.250304","0,41","-2,58 %","0,03","R$ 4,15","-1,19%"
"VTPA11","Papel: Fundo de Fundos","FDO. INVEST. IMOB. VOTORANTIM PATRIMONIAL V","-","65,3 M","2023-08-05 13:45:59.253468","N/A","N/A %","N/A","R$ 0,00","0,00%"
"VTPL11","Papel: Papéis","FDO INV. IMOB. PLUS","-","106,8 M","2023-08-05 13:45:59.254969","N/A","N/A %","5,11","R$ 0,00","0,00%"
"VTVI11","Fundo Misto: Indefinido","PARKING PARTNERS FDO. INVEST. IMOB.","-","61,6 M","2023-08-05 13:45:59.257767","N/A","N/A %","N/A","R$ 0,00","0,00%"
"VTXI11","Fundo Misto: Misto","FDO. INVEST. IMOB. VOTORANTIM PATRIMONIAL XII","-","1,1 M","2023-08-05 13:45:59.259211","N/A","N/A %","N/A","R$ 0,00","0,00%"
"VVCO11","Tijolo: Lajes Corporativas","FII V2EDCORP","-","71,0 M","2023-08-05 13:45:59.260518","0,88","-1,88 %","0,32","R$ 12,53","1,29%"
"VVPR11","Tijolo: Misto","FDO INV IMOB - V2 PROPERTIES","1,60","226,0 M","2023-08-05 13:45:59.261814","1,04","2,01 %","0,89","R$ 101,50","0,00%"
"VVRI11","Fundo Misto: Indefinido","V2 RENDA IMOBILIÁRIA FDO DE INV IMOB","5,66","38,5 M","2023-08-05 13:45:59.263104","1,03","-3,09 %","1,50","R$ 99,00","0,20%"
"VXXV11","Fundo Misto: Fundo de Desenvolvimento","VX XVI - FDO INV. IMOB.","-","282,0 M","2023-08-05 13:45:59.264404","0,97","2,90 %","10,76","R$ 1.030,00","2,90%"
"WHGR11","Fundo Misto: Indefinido","FII WHG REAL","12,05","253,3 M","2023-08-05 13:45:59.265686","0,94","0,21 %","0,11","R$ 9,50","0,11%"
"WMRB11B","Outros: Indefinido","FII WM RBCAP","-","-","2023-08-05 13:45:59.266973","N/A","N/A %","N/A","R$ 0,00","0,00%"
"WPLZ11B","Outros: Indefinido","FII W PLAZA","-","-","2023-08-05 13:45:59.270084","N/A","N/A %","N/A","R$ 0,00","0,00%"
"WTSP11B","Fundo Misto: Misto","Ourinvest RE I","4,26","72,1 M","2023-08-05 13:45:59.271602","0,56","2,50 %","0,24","R$ 41,00","1,23%"
"WVSC11","Fundo Misto: Indefinido","FII WARREN","-","-","2023-08-05 13:45:59.273026","N/A","N/A %","N/A","R$ 0,00","0,00%"
"XBXO11","Papel: Fundo de Fundos","R CAP 1810 FUNDO DE FUNDOS","-","289,6 M","2023-08-05 13:45:59.275835","N/A","N/A %","N/A","R$ 0,00","0,00%"
"XPCA11","Fiagro: Indefinido","FIAGRO XP CA","16,55","317,4 M","2023-08-05 13:45:59.277893","1,04","1,20 %","0,13","R$ 9,31","0,65%"
"XPCM11","Tijolo: Lajes Corporativas","XP Corporate Macaé","10,98","101,5 M","2023-08-05 13:45:59.282388","0,31","-1,42 %","0,07","R$ 13,21","-0,68%"
"XPGA11","Outros: Indefinido","FII XP GAIA","-","-","2023-08-05 13:45:59.284592","N/A","N/A %","N/A","R$ 0,00","0,00%"
"XPID11","FIInfra: Fundo de Desenvolvimento","XP FDO INV. COTAS FDO INC. INV. EM INFR. R. FIXA","-","-","2023-08-05 13:45:59.290733","N/A","1,61 %","N/A","R$ 88,40","0,83%"
"XPIN11","Tijolo: Imóveis Industriais e Logísticos","XP Industrial","9,28","730,2 M","2023-08-05 13:45:59.292583","0,81","2,00 %","0,65","R$ 83,09","0,47%"
"XPLG11","Tijolo: Imóveis Industriais e Logísticos","XP Log","7,83","3,1 B","2023-08-05 13:45:59.294117","1,01","0,43 %","0,78","R$ 114,49","0,25%"
"XPML11","Tijolo: Shoppings","XP Malls","8,62","2,5 B","2023-08-05 13:45:59.295572","1,11","1,29 %","0,83","R$ 108,89","0,37%"
"TRNT11B","Outros: Indefinido","FII TORRE NO","-","-","2023-08-05 13:45:59.196772","N/A","N/A %","N/A","R$ 0,00","0,00%"
"MAVC11","Fiagro: Papéis","MAV CRÉDITO - FIAGRO-IMOBILIÁRIO","-","-","2023-08-05 13:45:58.894873","N/A","N/A %","N/A","R$ 0,00","0,00%"
"BBPO11","Tijolo: Agências de Bancos","BB Progressivo II","11,17","1,6 B","2023-08-05 13:45:58.415176","0,98","-0,20 %","0,90","R$ 97,50","-0,40%"
"MALL11","Tijolo: Shoppings","Malls Brasil Plural","8,15","1,1 B","2023-08-05 13:45:58.890816","0,96","0,40 %","0,80","R$ 115,42","0,06%"
"APTO11","Tijolo: Imóveis Residenciais","NAVI RESIDENCIAL FUNDO DE INVESTIMENTO IMOBILIÁRIO","12,40","42,5 M","2023-08-05 13:45:58.380624","0,94","0,61 %","0,10","R$ 9,94","0,20%"
"XTED11","Tijolo: Lajes Corporativas","TRX Edifícios Corporativos","-","67,4 M","2023-08-05 13:45:59.299744","0,68","13,08 %","0,32","R$ 8,82","0,00%"
"YCHY11","Outros: Indefinido","FII YAGUARA","-","-","2023-08-05 13:45:59.301661","N/A","N/A %","N/A","R$ 0,00","0,00%"
"YUFI11","Fundo Misto: Fundo de Desenvolvimento","YUCA FDO INV. IMOB.","3,06","50,1 M","2023-08-05 13:45:59.303214","0,93","-1,86 %","0,30","R$ 95,00","-1,86%"
"YUFI11B","Tijolo: Indefinido","FII YUCA","-","-","2023-08-05 13:45:59.304970","N/A","N/A %","N/A","N/A","0,00%"
"ZAVI11","Outros: Indefinido","FII-ZAVIT-R","8,76","127,0 M","2023-08-05 13:45:59.306495","0,93","1,22 %","1,12","R$ 127,56","0,03%"
"VISC11","Tijolo: Shoppings","Vinci Shopping Centers","7,77","2,1 B","2023-08-05 13:45:59.233452","1,07","2,80 %","0,85","R$ 123,56","1,86%"
"RECR11","Papel: Papéis","FII REC Recebíveis Imobiliários","12,19","2,5 B","2023-08-05 13:45:59.077844","0,93","0,93 %","0,91","R$ 88,99","0,27%"
"RECT11","Tijolo: Lajes Corporativas","FDO INV IMOB - FII UBS (BR) OFFICE","11,59","790,1 M","2023-08-05 13:45:59.080271","0,56","0,55 %","0,40","R$ 51,56","0,04%"
"BIDB11","FIInfra: Fundo de Desenvolvimento","INTER INFRA FIC INFRA RENDA FIXA CRÉDITO PRIVADO","-","-","2023-08-05 13:45:58.435830","N/A","1,40 %","N/A","R$ 88,22","0,30%"
"BMLC11","Tijolo: Lajes Corporativas","BM Brascan Lajes Corporativas","11,41","110,6 M","2023-08-05 13:45:58.455957","0,94","0,04 %","3,59","R$ 104,04","0,04%"
"BODB11","FIInfra: Indefinido","BOCAINA INFRA - FDO INV COTAS FDO INV INFRA RF CP","-","-","2023-08-05 13:45:58.466785","N/A","-0,21 %","N/A","R$ 9,70","-0,21%"
"CARE11","Fundo Misto: Misto","Brazilian Graveyard and Death Care","-","297,8 M","2023-08-05 13:45:58.526292","0,24","0,50 %","0,01","R$ 1,99","-0,50%"
"CJCT11","Tijolo: Lajes Corporativas","CIDADE JARDIM CONTINENAL TOWER","0,74","207,8 M","2023-08-05 13:45:58.541404","0,98","0,78 %","0,08","R$ 65,00","-1,52%"
"CXAG11","Tijolo: Agências de Bancos","FII CAIXA AG","10,81","241,5 M","2023-08-05 13:45:58.564193","0,74","-1,76 %","0,71","R$ 85,40","-1,11%"
"CXCI11","Fundo Misto: Indefinido","FDO DE INVST IMOB CAIXA CARTEIRA IMOBILIÁRIA","10,27","198,6 M","2023-08-05 13:45:58.568995","0,92","2,47 %","0,84","R$ 89,15","-0,89%"
"CXTL11","Tijolo: Imóveis Industriais e Logísticos","Caixa TRX Logística Renda","5,24","22,2 M","2023-08-05 13:45:58.574076","0,76","4,22 %","2,02","R$ 313,70","1,20%"
"DVFF11","Papel: Fundo de Fundos","FDO. INVEST. IMOB. DEVANT FOF IMOBILIÁRIOS","10,23","105,0 M","2023-08-05 13:45:58.604300","0,91","2,45 %","0,70","R$ 86,48","0,62%"
"FAED11","Tijolo: Educacional","Anhanguera Educacional","10,55","139,8 M","2023-08-05 13:45:58.634522","0,82","0,28 %","1,48","R$ 177,49","0,14%"
"FGPM11","Tijolo: Shoppings","FDO INVEST IMOB GRAND PLAZA MALL","-","-","2023-08-05 13:45:58.658944","N/A","N/A %","N/A","R$ 0,00","0,00%"
"FLCR11","Papel: Papéis","FARIA LIMA CAPITAL RECEB. IMOB. I","13,65","62,8 M","2023-08-05 13:45:58.675457","0,97","2,30 %","1,31","R$ 95,75","1,42%"
"FPNG11","Tijolo: Lajes Corporativas","Pedra Negra Renda Imobiliária","11,22","236,8 M","2023-08-05 13:45:58.691729","0,42","0,10 %","0,69","R$ 69,50","1,19%"
"FVBI11","Tijolo: Lajes Corporativas","FII VBI 4440","-","-","2023-08-05 13:45:58.695994","N/A","N/A %","0,37","R$ 94,97","0,00%"
"HBCR11","Fundo Misto: Indefinido","HBC RENDA URBANA","4,45","115,5 M","2023-08-05 13:45:58.732535","1,17","8,40 %","0,64","R$ 120,62","8,48%"
"HDEL11","Tijolo: Imóveis Industriais e Logísticos","FII HEDGE DV","5,40","29,7 M","2023-08-05 13:45:58.747782","1,35","0,35 %","1,87","R$ 106,09","0,00%"
"HGRU11","Fundo Misto: Misto","CSHG Renda Urbana","9,05","2,3 B","2023-08-05 13:45:58.768339","1,05","0,96 %","0,85","R$ 129,50","-0,22%"
"HSAF11","Papel: Papéis","HSI ATIVOS FINANCEIROS FUNDO DE INVESTIMENTO IMOBI","12,91","236,5 M","2023-08-05 13:45:58.783226","0,93","-0,25 %","0,80","R$ 87,17","-0,06%"
"IBCR11","Fundo Misto: Papéis","FDO DE INV IMOBILIÁRIO DE CRI INTEGRAL BREI","14,62","92,6 M","2023-08-05 13:45:58.804395","0,81","-1,25 %","0,88","R$ 78,20","-0,32%"
"JFLL11","Tijolo: Imóveis Residenciais","JFL LIVING FDO. INV. IMOB.","10,10","151,5 M","2023-08-05 13:45:58.824438","0,74","0,34 %","0,62","R$ 74,25","1,13%"
"LASC11","Tijolo: Shoppings","LEGATUS SHOPPINGS FDO. INV. IMOB. - FII","9,20","300,0 M","2023-08-05 13:45:58.861883","0,99","-1,11 %","0,63","R$ 101,18","-0,45%"
"LUGG11","Fundo Misto: Fundo de Desenvolvimento","LUGGO FDO. INV. IMOB.","8,16","139,6 M","2023-08-05 13:45:58.888096","0,67","1,10 %","0,60","R$ 82,74","0,44%"
"FLEM11","Fiagro: Indefinido","051 Agro Fazendas II","-","283,9 M","2023-08-05 13:45:58.678662","N/A","N/A %","N/A","R$ 0,00","0,00%"
"MCHY11","Papel: Papéis","FDO DE INV IMOB MAUÁ CAPITAL HIGH YIELD - FII","16,95","365,4 M","2023-08-05 13:45:58.908803","1,09","-0,20 %","1,40","R$ 110,90","0,54%"
"MOFF11","Fundo de Fundos: Lajes Corporativas","MULTIOFFICES 2 - FDO. INV. IMOB.","-","179,8 M","2023-08-05 13:45:58.930181","N/A","N/A %","N/A","R$ 0,00","0,00%"
"NEWU11","Tijolo: Lajes Corporativas","NEWPORT RENDA URBANA FDO INV IMOB","1,55","51,3 M","2023-08-05 13:45:58.949908","1,06","-0,01 %","0,20","R$ 73,10","-0,01%"
"OULG11","Tijolo: Imóveis Industriais e Logísticos","FDO INV IMOB OURINVEST LOGÍSTICA","7,47","167,3 M","2023-08-05 13:45:58.968886","0,61","-1,27 %","0,42","R$ 41,17","0,19%"
"PLOG11","Tijolo: Imóveis Industriais e Logísticos","PLURAL LOGÍSTICA FDO. INV. IMOB.","13,32","79,6 M","2023-08-05 13:45:58.994619","0,63","-4,70 %","0,70","R$ 66,71","0,21%"
"RBDS11","Fundo Misto: Fundo de Desenvolvimento","RB Capital Desenvolvimento Residencial II","-","2,9 M","2023-08-05 13:45:59.028425","0,12","3,77 %","2,35","R$ 2,68","-2,55%"
"RBRL11","Tijolo: Imóveis Industriais e Logísticos","RBR LOG FUNDO DE INVESTIMENTO IMOBILIÁRIO","8,01","706,6 M","2023-08-05 13:45:59.049049","0,90","0,41 %","0,67","R$ 95,62","0,13%"
"ALZM11","Fundo de Fundos: Fundo de Fundos","FII ALIANZME","12,30","63,9 M","2023-08-05 13:45:58.370933","1,01","1,60 %","0,85","R$ 93,75","1,14%"
"ROOF11","Fundo Misto: Fundo de Desenvolvimento","FUNDO DE INVESTIMENTO IMOBILIÁRIO ROOFTOP I","16,35","45,7 M","2023-08-05 13:45:59.098725","0,87","-4,67 %","41,72","R$ 510,00","-4,67%"
"SALI11","Fundo Misto: Misto","VENUS - FUNDO DE INVESTIMENTO IMOBILIÁRIO","-","8,1 M","2023-08-05 13:45:59.124660","N/A","N/A %","N/A","R$ 0,00","0,00%"
"XPSF11","Papel: Fundo de Fundos","XP SELECTION FDO DE FUNDOS INV IMOB - FII","10,84","378,2 M","2023-08-05 13:45:59.298365","0,97","1,08 %","0,08","R$ 8,44","0,24%"
"SJAU11","Tijolo: Imóveis Industriais e Logísticos","SJ AU LOGÍSTICA","-","760,9 M","2023-08-05 13:45:59.146612","0,93","12,21 %","N/A","R$ 89,00","-3,16%"
"SRVD11","Fundo Misto: Indefinido","SERRA VERDE FUNDO DE INVESTIMENTO IMOBILIÁRIO","2,76","573,4 K","2023-08-05 13:45:59.168334","572,00","0,35 %","0,20","R$ 5,72","0,35%"
"SNFF11","Papel: Fundo de Fundos","SUNO FUNDO DE FUNDOS","9,52","264,0 M","2023-08-05 13:45:58.301844","0,96","2,38 %","0,65","R$ 89,97","2,35%"
"TMPS11","Fundo de Fundos: Fundo de Fundos","ITAÚ TEMPUS FUNDO DE INVESTIMENTO IMOBILIÁRIO","1,86","105,6 M","2023-08-05 13:45:59.192808","0,97","-0,49 %","0,65","R$ 104,57","-1,07%"
"URPR11","Papel: Papéis","URCA PRIME RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO","15,60","1,2 B","2023-08-05 13:45:59.210886","0,98","-0,82 %","1,13","R$ 98,58","-0,07%"
"VIFI11","Papel: Fundo de Fundos","VINCI INSTRUMENTOS FINANCEIROS FDO INV IMOB - FII","9,08","76,2 M","2023-08-05 13:45:59.229594","0,90","0,83 %","0,07","R$ 8,48","0,47%"
"VTLT11","Tijolo: Imóveis Industriais e Logísticos","Votorantim Logística","10,52","213,7 M","2023-08-05 13:45:59.251790","0,97","-0,95 %","0,88","R$ 98,00","0,43%"
"XPCI11","Papel: Papéis","XP CREDITO IMOBILIÁRIO - FDO INV IMOB","12,21","825,7 M","2023-08-05 13:45:59.280169","0,90","1,16 %","1,00","R$ 85,59","0,12%"
"XPPR11","Fundo Misto: Lajes Corporativas","XP PROPERTIES FDO. INV. IMOB.","10,87","516,4 M","2023-08-05 13:45:59.297043","0,31","-1,03 %","0,10","R$ 22,07","0,09%"
"AIEC11","Tijolo: Lajes Corporativas","AUTONOMY EDIFÍCIOS CORPORATIVOS FUND. INV. IMOB.","13,11","456,5 M","2023-08-05 13:45:58.360433","0,73","-1,37 %","0,76","R$ 68,94","-0,85%"
"BBRC11","Tijolo: Agências de Bancos","BB Renda Corporativa","10,95","172,0 M","2023-08-05 13:45:58.416967","1,04","3,88 %","1,13","R$ 112,00","0,48%"
"BIME11","Fundo Misto: Indefinido","BRIO MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOB","11,31","51,7 M","2023-08-05 13:45:58.437584","0,89","2,07 %","0,08","R$ 7,88","0,25%"
"BPML11","Tijolo: Shoppings","FDO INV IMOB BTG PACTUAL SHOPPINGS","2,71","570,0 M","2023-08-05 13:45:58.474065","0,48","0,19 %","0,27","R$ 64,16","0,02%"
"BROF11","Outros: Lajes Corporativas","BRPR CORPORATE OFFICES FDO DE INV IMOB","2,73","1,2 B","2023-08-05 13:45:58.494140","0,66","0,26 %","0,72","R$ 69,60","0,12%"
"BTWR11","Fundo Misto: Fundo de Desenvolvimento","BTOWERS FII","6,00","91,1 M","2023-08-05 13:45:58.516384","0,95","N/A %","0,40","R$ 107,00","0,00%"
"CDII11","FIInfra: Indefinido","Sparta Infra CDI FICFI Infra Renda Fixa CP","-","-","2023-08-05 13:45:58.534796","N/A","0,14 %","N/A","R$ 104,84","0,05%"
"CPTI11","FIInfra: Fundo de Desenvolvimento","CAPITÂNIA INFRA FDO. INV. FDO. IE. RF. CRED. PRIV.","-","-","2023-08-05 13:45:58.550404","N/A","0,39 %","N/A","R$ 101,63","-0,07%"
"DMAC11","Fundo Misto: Fundo de Desenvolvimento","FII MAC","-","778,3 K","2023-08-05 13:45:58.592291","2,61","N/A %","4,89","R$ 13,00","0,00%"
"EGYR11","Fundo Misto: Fundo de Desenvolvimento","ENERGY RESORT FDO. INVEST. IMOB","-","93,3 M","2023-08-05 13:45:58.611339","0,01","9,09 %","N/A","R$ 1,20","2,56%"
"FAGL11","Tijolo: Imóveis Industriais e Logísticos","FII FATOR GP","-","-","2023-08-05 13:45:58.638943","N/A","N/A %","N/A","R$ 0,00","0,00%"
"FGAA11","Fiagro: Indefinido","FG/Agro","17,90","327,0 M","2023-08-05 13:45:58.657667","1,01","0,20 %","0,13","R$ 9,98","-0,10%"
"FIXX11","Fundo de Fundos: Indefinido","FII FATORFIX","-","-","2023-08-05 13:45:58.672483","N/A","N/A %","N/A","R$ 0,00","0,00%"
"FOFT11","Fundo de Fundos: Fundo de Fundos","FII CSHGFOFT","-","131,8 M","2023-08-05 13:45:58.689096","1,12","N/A %","1,90","R$ 123,00","0,00%"
"FZDB11","Fiagro: Indefinido","051 AGRO FAZIII FDO INV NAS CAD PROD AGRO","-","359,0 M","2023-08-05 13:45:58.706148","1,05","N/A %","N/A","R$ 105,00","0,00%"
"GSFI11","Tijolo: Shoppings","GENERAL SHOP E OUTLETS DO BRASIL FDO INV IMOB","-","1,1 B","2023-08-05 13:45:58.723505","0,52","1,93 %","N/A","R$ 7,40","1,79%"
"HCRA11","Fidc: Indefinido","HEDGE CRÉDITO AGRO FIAGRO-DIREITOS CREDITÓRIOS","-","-","2023-08-05 13:45:58.740981","N/A","-1,06 %","N/A","R$ 102,90","0,00%"
"HGCR11","Papel: Papéis","CGHG Recebíveis Imobiliários","13,47","1,6 B","2023-08-05 13:45:58.756975","1,03","1,97 %","1,10","R$ 106,25","0,39%"
"HLOG11","Tijolo: Imóveis Industriais e Logísticos","HEDGE LOGÍSTICA FDO. INV. IMOB.","7,97","488,5 M","2023-08-05 13:45:58.770758","0,85","2,48 %","0,65","R$ 97,87","0,40%"
"IBFF11","Papel: Fundo de Fundos","FDO INV. IMOB. FOF INTEGRAL BREI","0,45","9,9 M","2023-08-05 13:45:58.805857","4,49","1,47 %","0,30","R$ 66,40","-0,02%"
"JASC11","Tijolo: Imóveis Comerciais - Outros","FII JASC REN","5,10","279,2 M","2023-08-05 13:45:58.819109","0,97","N/A %","0,55","R$ 100,00","0,01%"
"JSAF11","Fundo Misto: Fundo de Fundos","JS ATIVOS FINANCEIROS FUNDO DE INVESTIMENTO IMOBIL","11,42","155,3 M","2023-08-05 13:45:58.832178","0,99","0,62 %","0,93","R$ 97,75","-0,17%"
"KNRE11","Fundo Misto: Fundo de Desenvolvimento","Kinea II Real Estate Equity","58,21","14,0 M","2023-08-05 13:45:58.857986","0,79","3,51 %","0,04","R$ 0,59","1,72%"
"LOFT11B","Fundo Misto: Fundo de Desenvolvimento","LOFT I - FDO INV IMOB","-","23,4 M","2023-08-05 13:45:58.876696","2,50","N/A %","0,20","R$ 29,90","0,00%"
"MFII11","Fundo Misto: Fundo de Desenvolvimento","Mérito Desenvolvimento Imobiliário","14,00","424,1 M","2023-08-05 13:45:58.913004","0,93","1,78 %","1,07","R$ 94,40","0,04%"
"MORE11","Papel: Fundo de Fundos","MORE REAL ESTATE FOF FII FDO. INV. IMOB.","9,58","195,5 M","2023-08-05 13:45:58.932870","0,90","0,04 %","0,62","R$ 76,00","-0,22%"
"NVHO11","Tijolo: Hospitalar","Novo Horizonte","9,30","580,5 M","2023-08-05 13:45:58.956550","0,76","6,93 %","0,08","R$ 10,65","4,00%"
"OUFF11","Papel: Fundo de Fundos","FDO INV IMOB - OURINVEST FUNDO DE FUNDOS","11,62","141,1 M","2023-08-05 13:45:58.966043","0,95","0,52 %","0,72","R$ 73,90","0,30%"
"PLCA11","Fiagro: Indefinido","Plural BRB Crédito Agro","11,58","52,9 M","2023-08-05 13:45:58.991990","0,88","-1,20 %","1,12","R$ 90,90","-0,11%"
"PNPR11","Fundo Misto: Fundo de Desenvolvimento","PANORAMA PROPERTIES FDO. INVEST. IMOB.","-","90,4 M","2023-08-05 13:45:59.000061","0,96","N/A %","N/A","R$ 100,00","0,00%"
"RBBV11","Fundo Misto: Fundo de Desenvolvimento","FII JHSF FBV","-","126,5 M","2023-08-05 13:45:59.024346","0,99","N/A %","0,22","R$ 100,00","0,00%"
"RBIF11","FIInfra: Fundo de Desenvolvimento","RIO BRAVO ESG FIC INFRA RENDA FIXA CRÉDITO PRIVADO","-","-","2023-08-05 13:45:59.037047","N/A","-1,48 %","N/A","R$ 99,89","-0,06%"
"RBRS11","Fundo Misto: Fundo de Desenvolvimento","RIO BRAVO RENDA RESIDENCIAL FDO. INVEST. IMOB.","9,00","163,4 M","2023-08-05 13:45:59.056832","0,59","3,30 %","0,40","R$ 55,78","2,54%"
"RECX11","Papel: Fundo de Fundos","FDO. INV. IMOB. REC FUNDO DE FUNDOS","11,99","16,8 M","2023-08-05 13:45:59.081988","0,90","2,49 %","0,60","R$ 69,18","1,32%"
"RSPD11","Fundo Misto: Fundo de Desenvolvimento","RB CAPITAL DESENV RESID III FDO INV IMOB - FII","4,63","173,1 M","2023-08-05 13:45:59.103358","0,97","N/A %","8,64","R$ 1.125,00","0,00%"
"SARE11","Fundo Misto: Misto","SANTANDER RENDA DE ALUGUÉIS FDO. INVEST. IMOB.","12,89","873,7 M","2023-08-05 13:45:59.126212","0,61","-2,14 %","0,50","R$ 57,49","0,72%"
"BPFF11","Papel: Fundo de Fundos","Brasil Plural Absoluto Fundo de Fundos","10,61","349,0 M","2023-08-05 13:45:58.469405","0,92","-0,64 %","0,62","R$ 71,43","0,03%"
"GALG11","Tijolo: Imóveis Industriais e Logísticos","GUARDIAN LOGISTICA","10,81","526,5 M","2023-08-05 13:45:58.707444","0,99","-0,44 %","0,08","R$ 9,09","0,44%"
"VCRR11","Tijolo: Imóveis Residenciais","VECTIS RENDA RESIDENCIAL","10,26","256,8 M","2023-08-05 13:45:59.216597","0,62","-1,24 %","0,69","R$ 79,50","-0,05%"
"VIUR11","Fundo Misto: Misto","VINCI IMÓVEIS URBANOS","10,29","244,4 M","2023-08-05 13:45:59.235010","0,93","0,12 %","0,07","R$ 8,40","-0,36%"
"VSHO11","Tijolo: Shoppings","FDO INV IMOB VOTORANTIM SHOPPING","9,65","211,4 M","2023-08-05 13:45:59.248978","0,79","2,63 %","0,72","R$ 79,87","1,45%"
"WPLZ11","Tijolo: Shoppings","Shopping West Plaza","7,44","89,5 M","2023-08-05 13:45:59.268515","0,90","-1,23 %","0,43","R$ 78,50","4,67%"
"XPHT11","Tijolo: Hotéis","XP HOTÉIS - FDO INV IMOB","12,68","375,9 M","2023-08-05 13:45:59.287993","1,24","-0,56 %","1,90","R$ 123,00","-1,60%"
"BRLA11","Tijolo: Imóveis Industriais e Logísticos","FUNDO DE INVESTIMENTO IMOBILIÁRIO BRL PROP II","9,34","490,9 M","2023-08-05 13:45:58.490791","0,88","0,01 %","0,90","R$ 138,03","0,01%"
"GCRI11","Papel: Papéis","GALAPAGOS RECEBÍVEIS IMOBILIÁRIOS","14,87","139,2 M","2023-08-05 13:45:58.712910","0,94","-0,51 %","1,00","R$ 89,84","-0,07%"
"KDIF11","FIInfra: Fundo de Desenvolvimento","KINEA INFRA - FDO INV COTAS FDO INC. INV INF RF CP","-","-","2023-08-05 13:45:58.841255","N/A","0,64 %","N/A","R$ 133,00","-0,28%"
"PQAG11","Tijolo: Imóveis Industriais e Logísticos","PARQUE ANHANGUERA FDO. INVEST. IMOB.","9,44","798,9 M","2023-08-05 13:45:59.003023","0,97","-0,91 %","0,44","R$ 55,49","-0,43%"
"ZIFI11","Fundo Misto: Fundo de Desenvolvimento","ZION CAPITAL FUNDO DE INVESTIMENTO IMOBILIÁRIO","0,33","57,3 M","2023-08-05 13:45:59.309109","0,83","-4,72 %","3,30","R$ 1.000,00","-4,72%"
"SNFF11","Papel: Fundo de Fundos","SUNO FUNDO DE FUNDOS","9,52","264,0 M","2023-08-05 13:45:59.153235","0,96","2,38 %","0,65","R$ 89,97","2,35%"
"ARCT11","Tijolo: Imóveis Industriais e Logísticos","RIZA ARCTIUM REAL ESTATE FDO INV IMOB","16,59","371,5 M","2023-08-05 13:45:58.385209","0,87","-5,51 %","0,39","R$ 87,13","0,00%"
"SNCI11","Fundo Misto: Papéis","SUNO RECEBÍVEIS IMOBILIÁRIOS FDO DE INV IMOB","12,81","416,0 M","2023-08-05 13:45:58.309645","1,00","-0,03 %","1,10","R$ 99,47","-0,03%"
"SIGR11","Fundo Misto: Indefinido","FII SIG CAP","9,90","39,4 M","2023-08-05 13:45:59.145281","0,99","N/A %","1,06","R$ 100,00","0,00%"
"STRX11","Fundo Misto: Fundo de Desenvolvimento","STARX FDO INV IMOB","107,04","264,5 M","2023-08-05 13:45:59.169906","0,05","N/A %","0,70","R$ 8,52","0,00%"
"TJKB11","Fundo Misto: Indefinido","FII TJK REND","10,89","202,9 M","2023-08-05 13:45:59.191339","1,00","-0,59 %","2,63","R$ 267,16","-0,96%"
