"fundoname","tpfundo","descricaofundo","preco","marketcap","dtcarga","p_vp","rentabilidade_mes","ultimo_rendimento","price","percentcharge"
"QIFF11","Fundo de Fundos: Indefinido","FII QUATA","-","-","2023-08-05 13:45:59.018074","N/A","N/A %","N/A","R$ 0,00","0,00%"
"QIRI11","Papel: Papéis","QUATA IMOB RECEBÍVEIS IMOB","0,85","13,4 M","2023-08-05 13:45:59.019865","0,87","3,98 %","0,66","R$ 78,04","0,00%"
"QMFF11","Fundo de Fundos: Indefinido","FII QUATA","-","-","2023-08-05 13:45:59.022909","N/A","N/A %","N/A","R$ 0,00","0,00%"
"RBCB11","Papel: Papéis","FII RIOBRCIB","-","-","2023-08-05 13:45:59.025705","N/A","N/A %","0,30","R$ 19,00","0,00%"
"RBCO11","Tijolo: Lajes Corporativas","RB CAPITAL OFFICE INCOME FDO INV. IMOB.","-","-","2023-08-05 13:45:59.027037","N/A","N/A %","N/A","R$ 0,00","0,00%"
"RBED11","Tijolo: Educacional","Rio Bravo Renda Educacional","11,11","340,4 M","2023-08-05 13:45:59.029769","0,95","-0,07 %","1,43","R$ 136,60","0,09%"
"RBFF11","Papel: Fundo de Fundos","RIO BRAVO IFIX FDO INV IMOB","9,82","255,7 M","2023-08-05 13:45:59.031211","0,90","1,17 %","0,50","R$ 61,53","0,46%"
"RBGS11","Tijolo: Shoppings","FII RB GSB I","-","97,9 M","2023-08-05 13:45:59.032591","0,31","N/A %","0,18","R$ 28,45","0,00%"
"RBHG11","Papel: Papéis","RIO BRAVO CREDITO IMOB HIGH GRADE","14,97","159,1 M","2023-08-05 13:45:59.033947","0,95","-0,39 %","1,05","R$ 87,67","0,19%"
"RBHY11","Papel: Papéis","RIO BRAVO CRÉDITO IMOB. HIGH YIELD","15,66","177,8 M","2023-08-05 13:45:59.035329","1,00","1,38 %","1,20","R$ 94,23","0,57%"
"RBIR11","Fundo Misto: Fundo de Desenvolvimento","RB CAPITAL DESENV. RESIDENCIAL IV FDO. INV. IMOB.","1,53","158,9 M","2023-08-05 13:45:59.039557","0,84","3,87 %","0,05","R$ 86,94","-0,07%"
"RBIV11","Papel: Papéis","FII RBCRI IV","-","-","2023-08-05 13:45:59.041119","N/A","N/A %","N/A","R$ 0,00","0,00%"
"RBLG11","Tijolo: Imóveis Industriais e Logísticos","RB CAPITAL LOGÍSTICO","10,55","65,1 M","2023-08-05 13:45:59.042486","0,99","2,64 %","0,95","R$ 100,78","-0,22%"
"RBOP11","Outros: Lajes Corporativas","FII MERC BR","35,59","78,4 M","2023-08-05 13:45:59.043811","0,42","17,65 %","2,40","R$ 320,00","15,32%"
"RBRD11","Tijolo: Varejo","RB Capital Renda II","9,96","122,6 M","2023-08-05 13:45:59.045106","0,57","4,14 %","0,34","R$ 37,75","1,78%"
"RBRF11","Papel: Fundo de Fundos","RBR ALPHA MULTIESTRATÉGIA REAL ESTATE FDO INV IMOB","8,50","1,2 B","2023-08-05 13:45:59.046457","1,02","2,46 %","0,63","R$ 88,30","2,67%"
"RBRI11","Fundo Misto: Fundo de Desenvolvimento","FII RBR III","-","163,0 M","2023-08-05 13:45:59.047754","0,77","N/A %","35,62","R$ 915,00","-8,04%"
"RBRM11","Fundo Misto: Fundo de Desenvolvimento","FDO INV IMOB - FII RBR DESENVOLVIMENTO","19,40","14,8 M","2023-08-05 13:45:59.050577","3,45","N/A %","2.002,09","R$ 94.794,81","0,00%"
"RBRP11","Tijolo: Lajes Corporativas","RBR Properties","5,95","999,7 M","2023-08-05 13:45:59.052088","0,77","4,88 %","0,27","R$ 63,58","0,95%"
"RBRR11","Papel: Papéis","RBR Rendimento High Grade","11,87","1,3 B","2023-08-05 13:45:59.053486","0,95","2,74 %","0,80","R$ 91,44","0,80%"
"RBRX11","Fundo Misto: Indefinido","FII RBR MULT","15,36","181,0 M","2023-08-05 13:45:59.058528","0,97","0,13 %","1,17","R$ 93,56","0,39%"
"RBRY11","Papel: Papéis","FDO INV IMOB RBR PRIVATE CRÉDITO IMOB","13,73","555,0 M","2023-08-05 13:45:59.060702","1,02","0,98 %","1,25","R$ 101,99","0,62%"
"RBTS11","Fundo Misto: Fundo de Desenvolvimento","RB CAPITAL TFO SITUS FDO INV IMOB - FII","30,53","47,7 M","2023-08-05 13:45:59.062182","1,33","N/A %","2,65","R$ 1.121,00","6,76%"
"RBVA11","Tijolo: Varejo","Rio Bravo Renda Varejo","11,02","1,3 B","2023-08-05 13:45:59.063531","1,01","0,13 %","1,00","R$ 109,34","1,17%"
"RBVO11","Papel: Papéis","Rio Bravo Crédito Imobiliário II","2,45","9,2 M","2023-08-05 13:45:59.064835","0,47","0,96 %","0,02","R$ 8,38","0,36%"
"RCFA11","Fundo Misto: Fundo de Desenvolvimento","GRUPO RCFA FDO INV IMOB","-","10,1 M","2023-08-05 13:45:59.066149","0,15","0,39 %","N/A","R$ 2,56","-11,11%"
"RCFF11","Papel: Fundo de Fundos","RBR DESENV COMERCIAL FEEDER FOF FDO INVEST IMOB","1,45","30,3 M","2023-08-05 13:45:59.067598","0,91","-3,40 %","1,23","R$ 85,00","-5,56%"
"RCRB11","Tijolo: Lajes Corporativas","FDO INV IMOB RIO BRAVO RENDA CORPORATIVA","5,92","767,8 M","2023-08-05 13:45:59.069098","0,72","-0,87 %","0,75","R$ 149,02","-0,48%"
"RDES11","Outros: Indefinido","FII RD ESCRI","-","-","2023-08-05 13:45:59.070981","N/A","N/A %","N/A","R$ 0,00","0,00%"
"RDPD11","Papel: Papéis","BB Renda de Papeis Imobiliários II","21,21","24,5 M","2023-08-05 13:45:59.073390","0,98","0,53 %","0,78","R$ 22,96","-0,13%"
"RECH11","Outros: Hotéis","FII REC HTL","-","-","2023-08-05 13:45:59.075577","N/A","N/A %","N/A","R$ 0,00","0,00%"
"REIT11","Papel: Papéis","Socopa Fundo de Investimento Imobiliário","16,22","7,9 M","2023-08-05 13:45:59.085336","0,65","9,55 %","1,86","R$ 195,00","-0,46%"
"REIT11B","Outros: Indefinido","FII REIT RIV","-","-","2023-08-05 13:45:59.086890","N/A","N/A %","N/A","R$ 0,00","0,00%"
"RELG11","Tijolo: Imóveis Industriais e Logísticos","REC LOGISTICA","9,74","164,6 M","2023-08-05 13:45:59.089015","0,49","0,59 %","0,70","R$ 60,07","0,37%"
"REON11","Fip:  ","RESIDENCIAIS ONE FUNDO DE INVESTIMENTO IMOBILIÁRIO","-","-","2023-08-05 13:45:59.090735","N/A","N/A %","N/A","R$ 0,00","0,00%"
"RFOF11","Papel: Fundo de Fundos","FDO. INVEST. IMOB. RB CAPITAL I FUNDO DE FUNDOS","10,67","89,2 M","2023-08-05 13:45:59.092256","0,97","0,29 %","0,75","R$ 80,04","0,23%"
"RINV11","Outros: Indefinido","REAL INVESTOR FUNDO DE INVESTIMENTO IMOBILIÁRIO","7,04","32,8 M","2023-08-05 13:45:59.093544","1,01","0,77 %","1,35","R$ 110,85","0,14%"
"PNDL11","Fundo Misto: Fundo de Desenvolvimento","PANORAMA DESENVOLVIMENTO LOGÍSTICO","0,45","96,0 M","2023-08-05 13:45:58.997311","1,30","-0,85 %","5,89","R$ 1.298,00","0,78%"
"PNLN11","Fundo Misto: Indefinido","FII LASTMILE","-","928,9 K","2023-08-05 13:45:58.998737","N/A","N/A %","N/A","R$ 0,00","0,00%"
"RMAI11","Tijolo: Lajes Corporativas","REAG MULTI ATIVOS IMOBILIÁRIOS","6,41","242,4 M","2023-08-05 13:45:59.094793","0,49","1,48 %","0,26","R$ 48,71","2,55%"
"RNDP11","Papel: Papéis","BB Renda de Papéis Imobiliários","9,77","19,3 M","2023-08-05 13:45:59.096139","0,78","17,70 %","1,30","R$ 140,06","17,65%"
"RNGO11","Tijolo: Lajes Corporativas","Rio Negro","10,71","231,4 M","2023-08-05 13:45:59.097446","0,54","-4,61 %","0,36","R$ 46,95","-0,59%"
"RPRI11","Papel: Papéis","FII RBR PR","15,05","228,5 M","2023-08-05 13:45:59.099984","0,96","0,95 %","1,00","R$ 97,92","1,09%"
"RRCI11","Papel: Papéis","RB Capital Recebíveis Imobiliários","14,23","44,9 M","2023-08-05 13:45:59.101310","0,91","0,93 %","0,95","R$ 84,48","1,48%"
"RURA11","Outros: Misto","Itau Asset Rural","-","-","2023-08-05 13:45:59.106173","N/A","0,29 %","N/A","R$ 10,45","-0,76%"
"RVBI11","Papel: Fundo de Fundos","VBI REITS FOF - FDO. INV. IMOB","10,42","124,5 M","2023-08-05 13:45:59.109560","1,00","1,27 %","0,75","R$ 86,40","0,01%"
"RZAG11","Fiagro: Indefinido","FIAGRO RIZA","16,13","647,8 M","2023-08-05 13:45:59.110860","0,98","2,71 %","0,13","R$ 9,49","0,74%"
"RZAK11","Papel: Papéis","RIZA AKIN","17,60","820,0 M","2023-08-05 13:45:59.112127","0,99","0,34 %","1,20","R$ 91,99","0,40%"
"RZAT11","Outros: Imóveis Industriais e Logísticos","RIZA ARCTIUM REAL ESTATE FDO INV IMOB","12,29","371,5 M","2023-08-05 13:45:59.113419","0,94","2,18 %","0,90","R$ 93,81","0,34%"
"RZEO11","Fiagro: Indefinido","RIZA EOS FDO DE INV NAS CAD PROD - FIAGROO","-","170,8 M","2023-08-05 13:45:59.114782","N/A","N/A %","N/A","R$ 0,00","0,00%"
"RZTR11","Fundo Misto: Misto","FUNDO DE INVESTIMENTO IMOBILIÁRIO RIZA TERRAX","12,42","1,1 B","2023-08-05 13:45:59.116147","0,98","-0,72 %","0,85","R$ 95,72","-0,04%"
